2026-03-14 00:02:34 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (0/20) now.
2026-03-14 00:02:36 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (1/20) in 1.00 second.
2026-03-14 00:02:39 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (2/20) in 1.00 second.
2026-03-14 00:02:42 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (3/20) in 1.00 second.
2026-03-14 00:02:45 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (4/20) in 1.00 second.
2026-03-14 00:02:48 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (5/20) in 1.00 second.
2026-03-14 00:02:51 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (6/20) in 1.00 second.
2026-03-14 00:02:54 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (7/20) in 1.00 second.
2026-03-14 00:02:57 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (8/20) in 1.00 second.
2026-03-14 00:03:00 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (9/20) in 1.00 second.
2026-03-14 00:03:03 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (10/20) in 1.00 second.
2026-03-14 00:03:06 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (11/20) in 1.00 second.
2026-03-14 00:03:09 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (12/20) in 1.00 second.
2026-03-14 00:03:12 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (13/20) in 1.00 second.
2026-03-14 00:03:15 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (14/20) in 1.00 second.
2026-03-14 00:03:19 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (15/20) in 1.00 second.
2026-03-14 00:03:22 | ERROR | [6f3032cca6374299a4baac5a5cd5dca3] | celery.backends.redis | Connection to Redis lost: Retry (16/20) in 1.00 second.
