2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | 创建 api_endpoint_groups 表...
2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | ✓ api_endpoint_groups 表创建成功
2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | 创建索引...
2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | ✓ 索引 ix_api_endpoint_groups_project_id 创建成功
2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | ✓ 唯一约束 uq_project_group_name 创建成功
2026-01-23 14:02:31 | INFO | [d9c1d16fc7b24eecace2c3b4297fd894] | __main__ | ✅ 数据库迁移完成！
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | 已存在的字段: []
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | 添加 is_latest 字段...
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | ✓ is_latest 字段添加成功
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | 添加 parent_id 字段...
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | ✓ parent_id 字段添加成功
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | 创建索引...
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | ✓ 索引 ix_api_documents_parent_id 创建成功
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | ✓ 索引 ix_api_documents_is_latest 创建成功
2026-01-23 14:29:41 | INFO | [dda71f7b24f44584a606bc595a1669b0] | __main__ | ✅ 数据库迁移完成！
2026-01-23 14:49:52 | INFO | [d41513e9a416443dab78e2dc85c22657] | __main__ | 创建 ix_api_endpoints_group_id 索引...
2026-01-23 14:49:52 | INFO | [d41513e9a416443dab78e2dc85c22657] | __main__ | ✓ 索引 ix_api_endpoints_group_id 创建成功
2026-01-23 14:49:52 | INFO | [d41513e9a416443dab78e2dc85c22657] | __main__ | ✅ 数据库迁移完成！
